日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2018/10/15,外資及陸資,250315,134682,302447348,493321,254199,142486,302933706,501675,-3884,-7804,-486358,-8354.0,102555,199849,150555046,2453905,72183,226735,94743289,2649087,30372,-26886,55811757,-195182
2018/10/16,自營商,92492,442311,90764730,693691,87888,443605,89909153,704193,4604,-1294,855577,-10502.0,81282,269245,52724129,1817897,114010,400769,50373245,2203363,-32728,-131524,2350884,-385466
2018/10/16,投信,14158,0,21551935,0,14047,19,21290618,181,111,-19,261317,-181.0,6025,254,7475908,805,31880,1544,57156684,52963,-25855,-1290,-49680776,-52158
2018/10/16,外資及陸資,263934,178120,339032308,536139,266113,182641,338182563,499536,-2179,-4521,849745,36603.0,110889,209391,170830472,2183999,82696,240798,113734214,2295569,28193,-31407,57096258,-111570
2018/10/17,自營商,99479,547737,103317291,1060461,96553,552424,102266396,924913,2926,-4687,1050895,135548.0,48496,108051,30158590,663029,79304,117023,34412393,664297,-30808,-8972,-4253803,-1268
2018/10/17,投信,584,171,1166694,440,2003,409,3966713,1103,-1419,-238,-2800019,-663.0,6120,270,7700352,1049,33394,448,60477631,5456,-27274,-178,-52777279,-4407
2018/10/17,外資及陸資,196935,179555,233932365,518506,197762,176158,235088028,495982,-827,3397,-1155663,22524.0,83349,102517,133071649,913511,52902,101086,67201070,977431,30447,1431,65870579,-63920
2018/10/18,自營商,52437,234542,46693803,704031,52899,233278,47738562,708101,-462,1264,-1044759,-4070.0,52975,148520,30980094,810254,84113,156252,36267959,789866,-31138,-7732,-5287865,20388
2018/10/18,投信,26,0,51412,0,307,0,607167,0,-281,0,-555755,0.0,6143,270,7680406,1407,33698,448,60585557,4687,-27555,-178,-52905151,-3280
2018/10/18,外資及陸資,174409,69274,192552793,322989,176491,77619,195981983,327226,-2082,-8345,-3429190,-4237.0,80624,108510,122513458,1035003,52257,115424,60592586,1122701,28367,-6914,61920872,-87698
2018/10/19,自營商,68410,302936,60676153,970300,65364,302591,59704590,932754,3046,345,971563,37546.0,56428,167608,31583656,895527,84634,174923,35946806,831268,-28206,-7315,-4363150,64259
2018/10/19,投信,24,12,47459,19,107,1800,210011,5345,-83,-1788,-162552,-5326.0,6159,270,7732920,1206,33797,2236,60895363,9138,-27638,-1966,-53162443,-7932
2018/10/19,外資及陸資,233192,134830,253493223,553254,227603,142680,245239396,580335,5589,-7850,8253827,-27081.0,85673,113126,126945555,1036734,51708,127890,56492935,1155341,33965,-14764,70452620,-118607
2018/10/22,自營商,63350,296170,55246887,782132,60853,319076,52568846,827222,2497,-22906,2678041,-45090.0,59899,170591,34492823,861391,85518,200901,36177817,845354,-25619,-30310,-1684994,16037
2018/10/22,投信,523,0,1034423,0,7,0,13858,0,516,0,1020565,0.0,6223,270,7898441,819,33345,2236,60203864,6748,-27122,-1966,-52305423,-5929
2018/10/22,外資及陸資,215199,136835,237263119,509253,224945,142610,251680640,505628,-9746,-5775,-14417521,3625.0,82319,120368,118326891,1011310,58103,140907,62174407,1135243,24216,-20539,56152484,-123933
2018/10/23,自營商,64901,362280,61832444,885302,67508,374458,62278852,921865,-2607,-12178,-446408,-36563.0,63055,194374,36305049,1046240,91212,236787,38424161,1054513,-28157,-42413,-2119112,-8273
2018/10/23,投信,272,0,532916,0,1378,0,2682009,0,-1106,0,-2149093,0.0,6271,270,7826251,1947,34499,2236,61201604,11228,-28228,-1966,-53375353,-9281
