日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2020/01/30,外資及陸資,265558,164526,331484478,710408,290191,186213,366451532,670173,-24633,-21687,-34967054,40235.0,87732,86434,143841636,1301390,98064,122101,105282314,1414597,-10332,-35667,38559322,-113207
2020/01/31,自營商,68153,350616,62542436,1145146,67234,334224,61984892,1097863,919,16392,557544,47283.0,41624,229345,33758739,1150178,101888,210367,44100404,1100327,-60264,18978,-10341665,49851
2020/01/31,投信,1044,6,2397265,25,52,8,117322,144,992,-2,2279943,-119.0,4580,97,5249925,420,29936,68,62603425,146,-25356,29,-57353500,274
2020/01/31,外資及陸資,262406,142856,311912918,535549,238980,119494,279399808,479146,23426,23362,32513110,56403.0,98995,120671,159235728,1246217,85953,133056,87913983,1235131,13042,-12385,71321745,11086
2020/02/03,自營商,84811,458560,84654496,1624438,82164,490185,82851107,1682924,2647,-31625,1803389,-58486.0,45869,248789,39857391,1406573,103648,261491,48291936,1324586,-57779,-12702,-8434545,81987
2020/02/03,投信,773,4,1744925,5,832,4,1639367,107,-59,0,105558,-102.0,4646,93,5521376,535,30061,64,62045035,82,-25415,29,-56523659,453
2020/02/03,外資及陸資,323806,232652,379598954,951642,324217,232121,378433920,960549,-411,531,1165034,-8907.0,95218,140524,154411115,1487980,85287,152378,82754036,1588600,9931,-11854,71657079,-100620
2020/02/04,自營商,66161,454412,67835865,985327,58042,428909,61117232,904480,8119,25503,6718633,80847.0,47680,275083,40663059,1228148,97445,262348,42538929,1238748,-49765,12735,-1875870,-10600
2020/02/04,投信,2486,0,5736515,0,9,0,20725,0,2477,0,5715790,0.0,4680,93,5715813,176,27615,64,57572591,150,-22935,29,-51856778,26
2020/02/04,外資及陸資,211884,192443,247225070,645475,205740,188423,240890420,625107,6144,4020,6334650,20368.0,96795,146051,155954690,1283297,80684,153885,76583462,1197765,16111,-7834,79371228,85532
2020/02/05,自營商,78216,609775,77465999,1220396,77650,603668,81173198,1147214,566,6107,-3707199,73182.0,47617,229916,38145831,1154607,97033,199411,43690409,1117998,-49416,30505,-5544578,36609
2020/02/05,投信,88,68,201289,175,387,71,893102,47,-299,-3,-691813,128.0,4629,90,5602585,285,27869,64,58201365,134,-23240,26,-52598780,151
2020/02/05,外資及陸資,221964,280448,253857348,770090,219678,275770,250160994,765540,2286,4678,3696354,4550.0,99953,133322,159673379,1234496,81581,142455,76575455,1143859,18372,-9133,83097924,90637
2020/02/06,自營商,55471,306950,55480578,885660,51899,297494,50130076,850667,3572,9456,5350502,34993.0,50098,258715,41842327,1114076,96008,218890,42151466,1210880,-45910,39825,-309139,-96804
2020/02/06,投信,864,0,2027828,0,308,50,715648,220,556,-50,1312180,-220.0,4648,90,5748067,94,27332,114,57933218,610,-22684,-24,-52185151,-516
2020/02/06,外資及陸資,197658,139784,232315812,538870,190500,136316,225714114,511656,7158,3468,6601698,27214.0,101183,144753,164048654,1209638,76550,150418,72816149,924400,24633,-5665,91232505,285238
2020/02/07,自營商,44587,250962,42951092,705459,50024,262952,47304305,752530,-5437,-11990,-4353213,-47071.0,50013,278660,40718878,1222324,101267,250897,45323628,1242320,-51254,27763,-4604750,-19996
2020/02/07,投信,209,0,484454,0,131,0,304209,0,78,0,180245,0.0,4607,90,5585793,168,27213,114,56918407,285,-22606,-24,-51332614,-117
2020/02/07,外資及陸資,172386,136270,210527433,505849,180254,129576,216040858,474104,-7868,6694,-5513425,31745.0,94489,165961,152777732,1316654,77724,164891,68188438,1129027,16765,1070,84589294,187627
2020/02/10,自營商,59442,362508,61374231,968188,60723,376130,61198222,1019000,-1281,-13622,176009,-50812.0,50330,293488,41452256,1207232,102679,279429,45871126,1258525,-52349,14059,-4418870,-51293
2020/02/10,投信,724,0,1674947,0,46,0,100059,0,678,0,1574888,0.0,4591,90,5543945,123,26519,114,55197821,211,-21928,-24,-49653876,-88
2020/02/10,外資及陸資,215451,192907,257430113,699430,217933,191168,258941511,689498,-2482,1739,-1511398,9932.0,96233,176547,154755650,1306828,81938,173673,71831474,1132769,14295,2874,82924176,174059
2020/02/11,自營商,51536,322275,46819520,692536,50830,303665,47413976,622269,706,18610,-594456,70267.0,50621,314274,41920802,1088996,103047,281669,47052661,1165915,-52426,32605,-5131859,-76919
2020/02/11,投信,653,0,1522210,0,22,0,51319,0,631,0,1470891,0.0,4581,90,5569628,43,25878,114,54175906,276,-21297,-24,-48606278,-233
2020/02/11,外資及陸資,135877,146030,152753718,438513,137006,148404,154758521,457744,-1129,-2374,-2004803,-19231.0,94780,183742,152936240,1198931,81590,183242,71355829,980630,13190,500,81580411,218301
2020/02/12,自營商,54765,455863,58633405,776315,48076,414209,52913517,694316,6689,41654,5719888,81999.0,53470,264204,45942014,945276,99899,219518,45402897,1064920,-46429,44686,539117,-119644
2020/02/12,投信,469,68,1103727,112,10,67,23540,0,459,1,1080187,112.0,4601,89,5666750,119,25439,112,53636728,465,-20838,-23,-47969978,-346
2020/02/12,外資及陸資,141069,182421,160133562,478156,131595,186277,147632914,482299,9474,-3856,12500648,-4143.0,101756,162889,166252202,1151387,79053,174815,71371552,863242,22703,-11926,94880650,288145
2020/02/13,自營商,51382,238204,45028072,559947,53163,228350,48550720,552570,-1781,9854,-3522648,7377.0,54418,295625,45524635,982654,102616,241078,48460486,1094971,-48198,54547,-2935851,-112317
2020/02/13,投信,32,0,75564,0,65,0,153422,0,-33,0,-77858,0.0,4631,89,5737002,96,25502,112,53806512,426,-20871,-23,-48069510,-330
2020/02/13,外資及陸資,165462,107068,192908130,369898,163399,109358,187634306,365802,2063,-2290,5273824,4096.0,101576,172362,168597343,1173073,77626,186578,68392673,876102,23950,-14216,100204670,296971
2020/02/14,自營商,47306,240677,50751507,548989,49676,237497,50992140,543321,-2370,3180,-240633,5668.0,54421,301056,46185018,924994,104932,243394,49435246,1065486,-50511,57662,-3250228,-140492
2020/02/14,投信,2921,12,5615724,60,2915,11,5593311,2,6,1,22413,58.0,4633,90,5759577,101,25498,112,53949405,431,-20865,-22,-48189828,-330
2020/02/14,外資及陸資,160737,118206,200480570,399334,166446,121164,209560337,401888,-5709,-2958,-9079767,-2554.0,99373,176332,169543070,1133571,81114,193506,78112701,830428,18259,-17174,91430369,303143
2020/02/17,自營商,48209,242266,51841707,450721,48555,271653,50324842,487168,-346,-29387,1516865,-36447.0,54052,296351,45846672,890733,104954,268132,47551316,1039181,-50902,28219,-1704644,-148448
2020/02/17,投信,15236,6,32685809,34,15648,6,33592452,1,-412,0,-906643,33.0,4673,90,5849955,115,25950,112,54773163,199,-21277,-22,-48923208,-84
2020/02/17,外資及陸資,172587,131448,233937606,398533,178772,138286,240297877,425955,-6185,-6838,-6360271,-27422.0,106081,174207,184881363,1078174,93990,198199,100119304,825030,12091,-23992,84762059,253144
2020/02/18,自營商,74658,370304,87895509,657262,75268,401331,86854855,752197,-610,-31027,1040654,-94935.0,59500,298341,52997992,971593,111015,301174,53575612,1118324,-51515,-2833,-577620,-146731
2020/02/18,投信,11913,54,20898176,32,11087,4,18951055,7,826,50,1947121,25.0,4787,90,6051101,201,25238,62,52509909,10,-20451,28,-46458808,191
2020/02/18,外資及陸資,197597,205833,267207734,606529,208679,206924,282032438,625427,-11082,-1091,-14824704,-18898.0,105743,179439,187490600,1118708,104734,204522,118450544,932302,1009,-25083,69040056,186406
2020/02/19,自營商,87372,574222,96629730,923549,84170,507278,93598404,768864,3202,66944,3031326,154685.0,38810,211344,36503737,641209,86161,143219,40459092,769919,-47351,68125,-3955355,-128710
2020/02/19,投信,655,130,1488041,122,225,128,468404,232,430,2,1019637,-110.0,4787,90,6124581,203,24812,60,52110637,234,-20025,30,-45986056,-31
2020/02/19,外資及陸資,178972,208793,229628070,604691,171240,206462,220899544,600236,7732,2331,8728526,4455.0,86291,64885,145600005,868677,68448,94230,67815809,605066,17843,-29345,77784196,263611
2020/02/20,自營商,39665,228313,43487571,652747,43855,249907,42050999,761674,-4190,-21594,1436572,-108927.0,39256,236792,36910248,695509,90527,190352,39462144,903819,-51271,46440,-2551896,-208310
2020/02/20,投信,24,0,56640,0,15,0,27000,0,9,0,29640,0.0,4804,90,6156564,225,24820,60,51909744,183,-20016,30,-45753180,42
2020/02/20,外資及陸資,157264,124108,186790460,502926,172520,125957,205187215,484119,-15256,-1849,-18396755,18807.0,79558,75660,131990848,914390,76971,106854,72806124,648999,2587,-31194,59184724,265391
2020/02/21,自營商,44199,284634,50113641,702809,48435,267576,54044797,713600,-4236,17058,-3931156,-10791.0,39558,269279,36105585,820734,95302,205633,42585614,987396,-55744,63646,-6480029,-166662
2020/02/21,投信,5,0,11690,0,529,0,948868,0,-524,0,-937178,0.0,4793,90,6113564,276,25333,60,52605609,153,-20540,30,-46492045,123
2020/02/21,外資及陸資,182572,164141,228044983,601196,180979,167910,225908627,580941,1593,-3769,2136356,20255.0,82139,87880,133973422,974550,77983,122843,72874056,714651,4156,-34963,61099366,259899
2020/02/24,自營商,50975,322769,50489899,907819,52150,336164,52367864,859764,-1175,-13395,-1877965,48055.0,39110,286105,34878549,1107867,96209,235744,43188193,1112712,-57099,50361,-8309644,-4845
2020/02/24,投信,411,0,941256,0,428,0,985324,0,-17,0,-44068,0.0,4968,90,6434643,482,25525,60,52370974,84,-20557,30,-45936331,398
